plataforma,tempo_captura,uso_memoria,resolucao_suportada,dispositivo,sucesso
android,6.688721564094188,286.8750626557864,4K (3840x2160),Xiaomi Redmi Note 11,True
android,10.524660383494233,261.1761850915399,HD (1280x720),Device Antigo,True
android,7.53047108856833,280.2858614820213,Full HD (1920x1080),Motorola Moto G50,True
android,9.785650822580777,299.19964237517394,HD (1280x720),Device Antigo,True
android,8.706097137209007,230.6722072825349,4K (3840x2160),Xiaomi Redmi Note 11,True
android,9.537037566002265,214.2136314023112,Full HD (1920x1080),Motorola Moto G50,True
android,9.164083545129346,249.8302416620386,4K (3840x2160),Xiaomi Redmi Note 11,True
android,7.418900151275454,194.2048159094675,4K (3840x2160),Samsung Galaxy A54,True
android,8.076806857918957,221.39128031781573,4K (3840x2160),Samsung Galaxy A54,True
android,8.289605741830202,254.28278514441467,4K (3840x2160),Xiaomi Redmi Note 11,True
android,8.821006956436458,193.66753533905896,4K (3840x2160),Samsung Galaxy A54,True
android,8.13372407082856,245.8413077581361,4K (3840x2160),Samsung Galaxy A54,True
android,8.122819744858262,275.81678454700256,4K (3840x2160),Xiaomi Redmi Note 11,True
android,6.85135916905061,286.8611927189871,Full HD (1920x1080),Motorola Moto G50,True
android,5.9963140375301975,216.67906619160166,4K (3840x2160),Samsung Galaxy S21,True
android,9.734131529316985,336.82326291925153,HD (1280x720),Device Antigo,True
android,11.048791536025462,301.08849833681535,HD (1280x720),Device Antigo,True
android,9.270792030974714,233.39704089442245,4K (3840x2160),Xiaomi Redmi Note 11,True
android,7.831269413203967,244.20324551050882,4K (3840x2160),Samsung Galaxy S21,True
android,6.924554645963479,238.06600249890735,4K (3840x2160),Samsung Galaxy A54,True
android,7.756354301491558,222.73842382614816,4K (3840x2160),Samsung Galaxy A54,True
android,7.838147288085122,216.13069244009947,4K (3840x2160),Samsung Galaxy A54,True
android,8.646235811513108,236.48582839560314,4K (3840x2160),Samsung Galaxy S21,True
android,11.193726642801684,286.6820293451958,HD (1280x720),Device Antigo,True
android,7.884860471036485,234.75644931402834,Full HD (1920x1080),Motorola Moto G50,True
android,7.381737360436629,221.36476817936318,4K (3840x2160),Samsung Galaxy A54,True
android,8.382709908704467,213.75832324036352,4K (3840x2160),Samsung Galaxy A54,True
android,6.622054218699689,212.88266695177253,4K (3840x2160),Samsung Galaxy S21,True
android,13.166394003582797,355.61518382774403,HD (1280x720),Device Antigo,True
android,8.360117538638233,223.24404022464586,4K (3840x2160),Samsung Galaxy A54,True
android,9.982050114134392,309.8675326849113,HD (1280x720),Device Antigo,True
android,10.426684010311046,325.010713157439,HD (1280x720),Device Antigo,True
android,8.713400385784473,332.18251957804324,HD (1280x720),Device Antigo,True
android,7.280095650015347,247.5803759582807,4K (3840x2160),Samsung Galaxy A54,True
android,8.29437866512826,229.71375585751264,Full HD (1920x1080),Motorola Moto G50,True
android,8.669928519497695,228.37607971533842,4K (3840x2160),Xiaomi Redmi Note 11,True
android,7.668748057771175,237.28877773250676,4K (3840x2160),Xiaomi Redmi Note 11,True
android,8.023821041104537,202.0869326063716,4K (3840x2160),Samsung Galaxy A54,True
android,13.21606735006827,305.9413982035615,HD (1280x720),Device Antigo,True
android,8.226379309692522,231.1160916958757,4K (3840x2160),Samsung Galaxy S21,True
android,7.1125956543217566,224.54704043181394,4K (3840x2160),Samsung Galaxy S21,True
android,8.924028155153708,216.0594986638127,Full HD (1920x1080),Motorola Moto G50,True
android,7.8324928032617285,230.20859198878406,4K (3840x2160),Xiaomi Redmi Note 11,True
android,8.597054977365499,227.09319549446374,Full HD (1920x1080),Motorola Moto G50,True
android,6.439000997904161,196.92162946713364,4K (3840x2160),Samsung Galaxy S21,True
android,9.621516631323098,270.48239481364146,Full HD (1920x1080),Motorola Moto G50,True
android,8.708795993186069,291.62319369479667,Full HD (1920x1080),Motorola Moto G50,True
android,8.545434272510555,225.83356680042064,Full HD (1920x1080),Motorola Moto G50,True
android,11.435462226659652,377.65780672698264,HD (1280x720),Device Antigo,True
android,8.806133852969483,215.89729524510335,Full HD (1920x1080),Motorola Moto G50,False
ios,8.184010827347297,273.20546723441646,Full HD (1920x1080),iPhone 8,True
ios,7.682166661464068,211.5234001329789,4K (3840x2160),iPhone SE (2022),True
ios,8.156693496743744,207.27389656218034,4K (3840x2160),iPhone SE (2022),True
ios,11.084259502657526,274.70123517491226,Full HD (1920x1080),iPhone 8,True
ios,7.816184165920564,198.54096569618332,4K (3840x2160),iPhone 14,True
ios,9.203948443843217,245.13260628571197,Full HD (1920x1080),iPhone 8,True
ios,7.710387186815278,225.11871384083014,4K (3840x2160),iPhone SE (2022),True
ios,6.721694393419224,198.19929597970543,4K (3840x2160),iPhone SE (2022),True
ios,7.596909315986321,211.98354258351512,4K (3840x2160),iPhone 12,True
ios,10.25280277187908,249.0673355211534,Full HD (1920x1080),iPhone 8,True
ios,7.370985111178891,213.77939745028695,4K (3840x2160),iPhone 14,True
ios,8.127498995852136,157.33249526054612,4K (3840x2160),iPhone SE (2022),True
ios,8.119797085453468,198.59717128321324,4K (3840x2160),iPhone 12,True
ios,6.680515020247622,187.5169284361595,4K (3840x2160),iPhone 14,True
